temp_real_C,temp_feels_like_C,humidity,wind_speed_kph,season,weather
12.0,12.0,0.88,21.0,3.0,2.0
12.0,12.0,0.88,23.0,3.0,2.0
12.0,12.0,0.88,25.0,3.0,2.0
12.0,12.0,0.88,30.0,3.0,2.0
11.5,11.5,0.88,24.5,3.0,2.0
11.0,11.0,0.85,19.0,3.0,2.0
11.0,11.0,0.82,21.0,3.0,2.0
10.5,9.0,0.795,21.0,3.0,2.0
10.0,7.5,0.82,20.5,3.0,1.0
9.5,6.5,0.79,21.0,3.0,2.0
9.0,6.5,0.71,16.0,3.0,1.0
9.0,6.0,0.71,18.0,3.0,1.0
9.0,6.5,0.71,17.5,3.0,1.0
9.0,6.0,0.685,18.0,3.0,1.0
9.5,6.5,0.64,20.5,3.0,2.0
9.0,5.5,0.735,27.5,3.0,2.0
8.5,4.5,0.71,29.0,3.0,2.0
8.0,4.5,0.735,21.5,3.0,1.0
7.5,4.0,0.685,23.0,3.0,1.0
7.0,3.0,0.71,22.0,3.0,1.0
7.0,4.5,0.71,14.0,3.0,2.0
6.0,2.5,0.76,19.5,3.0,2.0
5.5,1.5,0.76,21.0,3.0,1.0
5.0,1.0,0.76,23.0,3.0,1.0
5.0,2.0,0.76,17.0,3.0,1.0
5.0,1.0,0.7,19.5,3.0,1.0
5.0,0.5,0.66,26.0,3.0,1.0
5.0,0.0,0.66,30.0,3.0,1.0
5.0,0.5,0.66,24.0,3.0,1.0
4.5,0.5,0.725,21.0,3.0,1.0
4.5,1.5,0.725,14.0,3.0,1.0
5.0,1.5,0.7,17.5,3.0,1.0
5.0,1.0,0.7,23.0,3.0,2.0
4.5,-1.0,0.68,30.5,3.0,1.0
4.0,-1.0,0.7,26.0,3.0,1.0
4.5,-0.5,0.68,29.0,3.0,1.0
5.0,0.0,0.7,30.5,3.0,1.0
5.5,1.0,0.655,27.0,3.0,1.0
6.5,2.5,0.59,27.0,3.0,1.0
7.0,3.0,0.57,24.0,3.0,1.0
7.0,3.5,0.55,22.0,3.0,1.0
7.0,4.0,0.55,18.0,3.0,1.0
7.0,4.5,0.59,16.0,3.0,1.0
7.5,4.5,0.64,16.0,3.0,1.0
8.0,4.5,0.71,21.5,3.0,1.0
9.0,5.5,0.71,27.0,3.0,2.0
10.0,6.0,0.69,31.0,3.0,2.0
10.0,6.0,0.71,38.0,3.0,2.0
9.5,5.5,0.765,39.0,3.0,2.0
10.0,6.0,0.79,40.0,3.0,4.0
10.0,6.0,0.82,40.0,3.0,2.0
11.0,11.0,0.795,40.0,3.0,4.0
11.0,11.0,0.82,44.5,3.0,4.0
11.5,11.5,0.795,45.0,3.0,2.0
11.0,11.0,0.77,37.0,3.0,4.0
10.0,6.5,0.79,31.5,3.0,2.0
9.5,5.5,0.735,29.5,3.0,2.0
9.0,6.0,0.735,23.0,3.0,1.0
9.0,6.0,0.66,21.0,3.0,1.0
9.0,6.0,0.735,19.5,3.0,1.0
9.0,6.0,0.76,21.0,3.0,1.0
9.0,6.0,0.66,26.0,3.0,1.0
8.5,5.0,0.71,25.0,3.0,2.0
9.0,5.0,0.64,32.5,3.0,1.0
9.0,5.0,0.6,30.5,3.0,1.0
9.0,5.0,0.52,36.0,3.0,1.0
8.0,4.0,0.53,29.0,3.0,1.0
7.5,3.5,0.55,29.5,3.0,1.0
7.0,3.0,0.57,29.5,3.0,1.0
8.0,4.0,0.515,29.5,3.0,1.0
7.0,2.0,0.51,34.0,3.0,1.0
6.5,1.5,0.57,32.0,3.0,1.0
6.5,1.5,0.59,33.0,3.0,1.0
7.0,3.0,0.57,29.5,3.0,1.0
7.0,3.0,0.53,31.0,3.0,1.0
7.0,3.0,0.53,27.5,3.0,1.0
6.5,2.5,0.59,22.0,3.0,1.0
6.5,2.5,0.59,25.0,3.0,1.0
6.5,3.0,0.55,20.5,3.0,1.0
6.5,3.0,0.55,20.5,3.0,1.0
7.0,4.0,0.55,18.5,3.0,1.0
7.0,4.5,0.59,15.0,3.0,2.0
7.0,4.5,0.61,15.0,3.0,2.0
6.0,3.0,0.71,13.0,3.0,1.0
6.5,3.5,0.685,17.0,3.0,1.0
6.0,2.5,0.76,19.5,3.0,1.0
6.0,3.0,0.735,17.0,3.0,1.0
7.0,4.0,0.685,15.0,3.0,1.0
7.0,4.5,0.66,15.0,3.0,1.0
7.0,4.0,0.66,15.0,3.0,1.0
6.0,2.0,0.685,23.5,3.0,2.0
5.5,2.5,0.76,14.0,3.0,1.0
5.0,1.5,0.73,16.0,3.0,2.0
4.0,1.0,0.725,12.0,3.0,1.0
4.0,2.0,0.725,9.0,3.0,1.0
3.0,0.0,0.75,11.0,3.0,1.0
2.5,-1.5,0.725,15.0,3.0,1.0
2.5,-1.0,0.81,12.0,3.0,1.0
2.0,-2.0,0.81,13.0,3.0,1.0
2.0,-1.5,0.81,12.0,3.0,1.0
1.0,-3.0,0.81,14.0,3.0,1.0
1.0,-3.0,0.81,15.0,3.0,1.0
1.0,-2.0,0.81,10.0,3.0,1.0
0.5,-2.5,0.775,8.0,3.0,1.0
0.5,-3.0,0.775,10.0,3.0,1.0
1.5,-2.5,0.725,16.0,3.0,1.0
2.5,-1.5,0.675,15.0,3.0,1.0
3.5,-0.5,0.65,16.0,3.0,1.0
4.0,0.0,0.7,21.0,3.0,2.0
5.0,1.5,0.73,18.5,3.0,2.0
6.5,3.5,0.735,17.0,3.0,1.0
6.0,2.5,0.735,20.5,3.0,1.0
7.0,4.0,0.66,17.0,3.0,1.0
6.0,3.0,0.71,18.0,3.0,1.0
6.0,3.0,0.71,15.0,3.0,1.0
5.0,2.5,0.76,10.0,3.0,1.0
5.0,2.0,0.76,13.0,3.0,1.0
5.0,2.0,0.76,12.0,3.0,1.0
5.0,3.0,0.81,9.0,3.0,1.0
5.0,2.5,0.76,10.0,3.0,1.0
5.0,3.0,0.76,7.0,3.0,1.0
5.0,2.5,0.785,9.0,3.0,2.0
5.0,3.0,0.76,7.0,3.0,1.0
5.0,3.5,0.76,6.5,3.0,2.0
5.0,3.0,0.81,8.0,3.0,2.0
4.5,3.0,0.84,6.5,3.0,2.0
4.0,4.0,0.87,0.0,3.0,2.0
4.0,3.5,0.9,5.0,3.0,2.0
4.0,3.5,0.9,5.0,3.0,2.0
4.0,3.5,0.87,5.0,3.0,2.0
4.0,3.5,0.93,5.0,3.0,1.0
4.0,2.5,0.9,6.5,3.0,2.0
4.0,2.0,0.87,9.0,3.0,2.0
4.0,1.5,0.84,9.0,3.0,2.0
4.0,1.0,0.81,12.0,3.0,1.0
4.0,1.0,0.81,12.0,3.0,1.0
4.0,1.0,0.75,14.0,3.0,1.0
4.0,1.0,0.75,13.0,3.0,1.0
3.0,2.0,0.81,6.0,3.0,1.0
3.0,3.0,0.81,4.0,3.0,1.0
2.0,0.0,0.87,6.5,3.0,1.0
2.0,-0.5,0.87,8.0,3.0,1.0
1.5,0.5,0.87,5.5,3.0,1.0
1.0,1.0,0.87,4.0,3.0,1.0
1.0,1.0,0.87,4.0,3.0,1.0
0.5,-1.5,0.9,6.0,3.0,1.0
0.0,-3.0,0.93,8.0,3.0,1.0
0.5,-2.5,0.93,8.0,3.0,1.0
1.0,0.0,0.93,5.5,3.0,1.0
0.5,-0.5,0.93,3.5,3.0,1.0
0.5,-1.0,0.93,4.5,3.0,2.0
1.0,-1.0,0.93,6.5,3.0,2.0
1.0,-1.0,0.9,7.0,3.0,2.0
1.0,-1.0,0.9,6.5,3.0,1.0
2.0,-0.5,0.84,7.5,3.0,2.0
2.0,-0.5,0.87,8.0,3.0,2.0
3.0,1.0,0.75,7.5,3.0,1.0
3.5,3.0,0.725,3.0,3.0,1.0
4.0,1.5,0.7,9.0,3.0,1.0
4.0,2.0,0.7,8.0,3.0,1.0
5.0,3.5,0.66,7.5,3.0,2.0
5.0,4.0,0.635,6.0,3.0,2.0
4.0,2.5,0.675,6.5,3.0,2.0
3.5,2.5,0.725,6.0,3.0,1.0
3.5,2.5,0.725,6.0,3.0,2.0
3.5,1.5,0.725,7.0,3.0,2.0
3.0,1.5,0.75,6.5,3.0,2.0
2.5,1.5,0.78,5.5,3.0,2.0
2.0,1.0,0.75,3.0,3.0,1.0
2.0,2.0,0.81,2.0,3.0,2.0
1.0,0.0,0.87,3.0,3.0,2.0
0.5,-1.0,0.9,6.5,3.0,1.0
0.0,-1.0,0.93,3.0,3.0,1.0
-0.5,-0.5,0.9,4.0,3.0,1.0
-1.0,-2.0,0.93,3.0,3.0,1.0
-0.5,-0.5,0.93,4.0,3.0,1.0
-1.0,-2.0,0.93,5.0,3.0,1.0
-1.0,-3.5,0.965,6.5,3.0,1.0
-0.5,-3.5,0.965,7.0,3.0,1.0
0.0,-3.0,0.93,9.0,3.0,1.0
1.0,0.0,0.87,5.0,3.0,1.0
2.5,1.0,0.78,6.0,3.0,1.0
3.5,1.0,0.78,9.0,3.0,1.0
4.5,2.0,0.725,9.0,3.0,1.0
5.0,2.0,0.68,11.0,3.0,1.0
4.0,1.0,0.75,13.0,3.0,1.0
4.0,1.0,0.78,13.0,3.0,2.0
4.0,1.0,0.78,12.0,3.0,1.0
4.0,1.0,0.75,12.0,3.0,1.0
4.0,1.0,0.725,13.0,3.0,1.0
4.0,1.0,0.7,14.0,3.0,1.0
4.0,0.5,0.7,16.0,3.0,1.0
4.0,0.5,0.7,17.5,3.0,1.0
4.0,0.0,0.7,18.5,3.0,2.0
3.5,-0.5,0.725,18.0,3.0,2.0
3.0,-1.5,0.81,18.5,3.0,2.0
3.0,-1.0,0.81,19.0,3.0,2.0
3.0,-1.0,0.81,17.0,3.0,2.0
3.0,-1.0,0.84,16.0,3.0,2.0
3.0,-0.5,0.87,14.0,3.0,2.0
3.0,-1.0,0.87,18.0,3.0,2.0
3.0,-1.0,0.87,18.0,3.0,2.0
3.0,-1.0,0.87,18.0,3.0,2.0
3.0,-1.0,0.87,18.0,3.0,2.0
3.0,-1.0,0.87,17.0,3.0,2.0
3.0,-1.0,0.87,16.0,3.0,2.0
3.0,-1.0,0.87,17.0,3.0,2.0
3.5,0.0,0.84,16.0,3.0,2.0
3.0,-1.0,0.87,17.0,3.0,2.0
3.0,-1.0,0.87,18.0,3.0,2.0
3.0,-1.0,0.87,16.0,3.0,2.0
3.0,-0.5,0.84,14.0,3.0,2.0
3.0,0.0,0.87,11.0,3.0,2.0
3.0,0.0,0.87,13.0,3.0,2.0
3.0,0.5,0.81,9.0,3.0,2.0
3.0,2.0,0.81,6.0,3.0,2.0
3.0,2.0,0.81,6.0,3.0,2.0
3.0,2.5,0.81,3.0,3.0,1.0
2.5,2.5,0.84,2.0,3.0,1.0
2.0,2.0,0.87,2.0,3.0,1.0
2.0,2.0,0.87,2.0,3.0,2.0
2.0,1.0,0.87,5.5,3.0,2.0
2.0,1.0,0.87,5.0,3.0,2.0
2.0,1.0,0.87,5.0,3.0,2.0
2.0,2.0,0.84,2.0,3.0,2.0
2.0,2.0,0.81,2.0,3.0,2.0
2.0,1.0,0.81,5.0,3.0,2.0
2.5,2.5,0.78,2.0,3.0,2.0
4.0,1.5,0.7,9.0,3.0,2.0
4.0,1.5,0.675,10.0,3.0,2.0
5.0,2.0,0.59,13.0,3.0,1.0
5.0,2.0,0.57,13.0,3.0,1.0
4.5,1.5,0.59,14.0,3.0,1.0
4.0,1.0,0.61,13.0,3.0,1.0
4.0,1.0,0.63,12.0,3.0,2.0
3.5,0.5,0.63,12.0,3.0,2.0
3.0,0.0,0.65,9.0,3.0,2.0
2.0,0.0,0.7,6.5,3.0,1.0
2.0,0.0,0.7,6.5,3.0,1.0
0.0,-2.0,0.8,6.0,3.0,1.0
0.0,0.0,0.8,2.0,3.0,1.0
0.0,-1.0,0.8,3.0,3.0,1.0
-0.5,-2.0,0.865,5.5,3.0,1.0
-1.0,-3.0,0.86,6.0,3.0,1.0
-1.0,-3.0,0.86,6.0,3.0,2.0
-0.5,-1.5,0.83,5.0,3.0,2.0
-1.0,-2.0,0.86,5.0,3.0,2.0
-1.0,-3.0,0.86,6.0,3.0,2.0
-1.5,-2.5,0.895,5.0,3.0,1.0
-1.0,-3.5,0.86,6.5,3.0,1.0
-0.5,-3.5,0.83,7.0,3.0,1.0
0.5,-2.0,0.84,6.5,3.0,1.0
2.0,-0.5,0.75,7.5,3.0,1.0
3.5,0.5,0.675,12.0,3.0,1.0
4.5,1.0,0.655,16.5,3.0,1.0
5.0,1.5,0.66,17.5,3.0,1.0
5.0,1.0,0.66,19.5,3.0,1.0
5.0,2.0,0.66,17.0,3.0,1.0
4.0,1.0,0.75,12.0,3.0,1.0
4.0,1.0,0.75,14.0,3.0,1.0
4.5,1.5,0.785,14.0,3.0,1.0
6.0,2.5,0.76,18.5,3.0,1.0
6.5,2.5,0.785,24.0,3.0,1.0
7.0,4.0,0.87,20.0,3.0,2.0
7.5,3.5,0.87,23.0,3.0,2.0
8.0,4.0,0.87,24.0,3.0,2.0
8.0,4.5,0.93,22.5,3.0,2.0
9.0,6.0,0.905,18.0,3.0,2.0
7.0,4.0,0.87,18.5,3.0,4.0
6.5,3.5,0.81,18.0,3.0,2.0
6.0,2.5,0.76,18.5,3.0,1.0
5.5,1.5,0.735,24.0,3.0,1.0
5.0,1.0,0.76,19.0,3.0,1.0
4.0,1.0,0.81,14.0,3.0,1.0
4.5,1.0,0.755,16.0,3.0,1.0
5.0,1.5,0.7,18.0,3.0,1.0
5.5,1.5,0.68,24.0,3.0,1.0
6.0,2.0,0.66,24.0,3.0,1.0
6.0,2.0,0.61,24.0,3.0,1.0
7.0,3.5,0.61,22.0,3.0,1.0
7.0,4.0,0.61,20.0,3.0,1.0
7.0,3.0,0.61,22.0,3.0,1.0
6.5,3.5,0.635,17.0,3.0,1.0
6.0,3.0,0.66,15.0,3.0,1.0
5.5,2.5,0.68,13.0,3.0,1.0
5.0,2.0,0.68,14.0,3.0,1.0
4.5,1.5,0.7,13.0,3.0,1.0
4.0,1.0,0.725,13.0,3.0,1.0
3.5,0.5,0.75,13.0,3.0,1.0
3.0,-0.5,0.81,13.0,3.0,1.0
3.0,0.0,0.81,13.0,3.0,1.0
2.0,-1.5,0.87,12.0,3.0,1.0
2.0,-1.0,0.81,10.0,3.0,1.0
2.0,-2.0,0.87,14.0,3.0,1.0
2.0,-2.0,0.84,13.0,3.0,1.0
2.0,-1.5,0.87,12.0,3.0,1.0
2.0,-2.0,0.87,13.0,3.0,1.0
2.0,-2.0,0.87,15.0,3.0,1.0
3.0,-0.5,0.81,15.0,3.0,1.0
3.5,0.5,0.78,13.0,3.0,2.0
5.0,2.0,0.7,15.0,3.0,2.0
6.5,4.0,0.685,13.0,3.0,2.0
8.5,5.5,0.62,19.5,3.0,2.0
8.0,5.0,0.66,18.0,3.0,2.0
9.0,6.0,0.66,22.0,3.0,2.0
8.0,5.0,0.71,21.0,3.0,2.0
8.0,5.0,0.71,18.0,3.0,2.0
8.0,5.0,0.71,19.5,3.0,2.0
8.0,5.0,0.735,19.5,3.0,2.0
8.0,5.0,0.76,19.5,3.0,2.0
8.0,5.0,0.76,18.5,3.0,2.0
8.0,5.0,0.82,18.5,3.0,2.0
8.0,5.0,0.82,18.0,3.0,2.0
8.0,5.0,0.82,18.0,3.0,2.0
8.0,5.0,0.87,19.0,3.0,2.0
8.5,5.5,0.87,18.0,3.0,2.0
9.0,6.0,0.87,21.5,3.0,2.0
9.0,6.0,0.87,19.5,3.0,2.0
9.0,6.5,0.87,16.0,3.0,2.0
9.5,7.0,0.845,17.0,3.0,2.0
10.0,7.5,0.82,18.5,3.0,2.0
10.0,7.5,0.88,18.5,3.0,2.0
10.0,8.0,0.85,18.0,3.0,2.0
10.5,9.0,0.85,19.5,3.0,2.0
10.0,7.5,0.85,16.5,3.0,2.0
10.0,7.0,0.715,23.0,3.0,2.0
10.0,7.0,0.625,24.0,3.0,1.0
9.0,6.0,0.64,19.5,3.0,2.0
9.0,6.0,0.6,22.0,3.0,1.0
8.0,4.5,0.62,23.0,3.0,1.0
8.0,4.5,0.62,21.5,3.0,1.0
8.0,5.0,0.62,19.0,3.0,1.0
7.5,4.5,0.64,18.0,3.0,1.0
7.0,4.0,0.66,20.0,3.0,1.0
7.0,4.0,0.66,17.0,3.0,1.0
6.5,3.5,0.685,17.0,3.0,1.0
6.0,3.0,0.76,14.0,3.0,1.0
6.0,3.0,0.76,15.0,3.0,1.0
5.5,2.5,0.76,14.0,3.0,1.0
5.0,2.0,0.785,15.0,3.0,1.0
5.0,2.0,0.76,14.0,3.0,1.0
5.0,2.0,0.76,12.0,3.0,1.0
5.0,2.0,0.76,12.0,3.0,1.0
5.5,2.5,0.785,13.0,3.0,1.0
6.0,3.5,0.76,12.0,3.0,1.0
6.0,3.0,0.76,15.0,3.0,1.0
5.5,2.5,0.785,15.0,3.0,1.0
6.5,3.5,0.735,15.0,3.0,1.0
7.0,4.0,0.735,18.0,3.0,1.0
8.0,5.0,0.71,19.0,3.0,1.0
9.0,6.0,0.66,17.0,3.0,1.0
9.0,6.0,0.66,19.5,3.0,2.0
9.0,6.0,0.685,19.0,3.0,2.0
8.0,5.5,0.71,16.0,3.0,2.0
8.0,6.0,0.71,11.0,3.0,2.0
8.0,7.0,0.71,7.0,3.0,2.0
8.0,6.0,0.71,11.0,3.0,2.0
8.0,4.5,0.71,22.0,3.0,2.0
8.0,5.0,0.64,19.5,3.0,2.0
8.0,5.0,0.66,18.0,3.0,2.0
7.0,4.0,0.71,15.0,3.0,2.0
7.0,4.0,0.71,18.0,3.0,2.0
7.0,4.0,0.735,19.5,3.0,2.0
